Planta; descripcion;CORRELATIVO;FACTURA FISICA;Descripción/Item;Proveedor/Vendor;Factura n°;Planta;Ubicación;Ubicación en Planta;Fecha de compra;Fecha Adj. Concesión;Fecha termino Concesion;Fecha comienzo op;Vida util s/ Concesion;Vida útil tributaria (meses);Valor de Origen
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;421937
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;421937
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;421937
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;421937
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;421937
AB1307;Edificios;61;SI;DOCUMENTACION CLP  68,000.00;SPARBER TRANSPORT CHILE LIMITADA;4191;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;120;68000
AB1307;Edificios;61;SI;CUSTOM CLEARANCE. CUSTOM CLEARANCE CLP 83.574,00;SPARBER TRANSPORT CHILE LIMITADA;4191;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;120;83574
AB1307;Edificios;62;SI;SERVICIO DOCUMENTACION;DEPOCARGO, DEP, ADUANERO DE CARGA LTDA;257203;MELIPILLA;;;04-07-2017;10-11-2015;10-11-2023;01-12-2018;78;120;266066
AB1307;Edificios;63;SI;50% ANTICIPO COTIZACION OBRA PRT MELIPILLA;SOC DE SERVICIOS Y ARRIENDO DE MAQUINARIAS RENTAMAQ LTDA;90;MELIPILLA;;;28-08-2017;10-11-2015;10-11-2023;01-12-2018;78;120;19000000
AB1307;Edificios;64;SI;50% TERMINO COTIZACION OBRA PRT MELIPILLA;SOC DE SERVICIOS Y ARRIENDO DE MAQUINARIAS RENTAMAQ LTDA;99;MELIPILLA;;;26-09-2017;10-11-2015;10-11-2023;01-12-2018;78;120;19000000
AB1307;Edificios;77;SI;OFICINA TECNICA;SOCIEDAD CONSTRUCTORA CALQUIN LTDA;3;MELIPILLA;;;31-10-2017;10-11-2015;10-11-2023;01-12-2018;78;120;1127500
AB1307;Edificios;78;SI;OFICINA TECNICA;SOCIEDAD CONSTRUCTORA CALQUIN LTDA;4;MELIPILLA;;;30-11-2017;10-11-2015;10-11-2023;01-12-2018;78;120;1500000
AB1307;Edificios;72;SI;PROYECTOS ELECTRICOS;ALKELEC SPA;5;MELIPILLA;;;04-12-2017;10-11-2015;10-11-2023;01-12-2018;78;120;550000
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
AB1307;Maquinaria y equipos;41;SI;LECTOR DE HUELLA DIGITAL;KANAL TRANSFER;1000000446;MELIPILLA;OPERATIVA;;08-12-2017;10-11-2015;10-11-2023;01-12-2018;78;36;39229
